mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators
0.15157532691955566,0.025567742700807385,0.008254384994506836,0.0013345527582820501,,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",0.8035714285714286,0.6770967741935483,0.8151330521272717,0.8011204481792717,0.8095800032183662,0.7813003412579773,0.05232898424927625,21,decision_tree,entropy,,5.0,
0.14294986724853515,0.026439258895711925,0.008778047561645509,0.0014079254686677769,,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",0.7865122265122265,0.6640213021458778,0.7990039318479686,0.8095800032183662,0.7990039318479686,0.7716242791144815,0.0542954498831841,23,decision_tree,entropy,,10.0,
0.11150121688842773,0.01060756686605164,0.009523534774780273,0.001205859672920974,,,,,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.8133534136546186,0.7451781970649896,0.8287811271297509,0.8179487179487179,0.7993478260869565,0.8009218563770066,0.029429338161269285,4,decision_tree,entropy,5,2.0,
0.11369280815124512,0.007176401736173478,0.008821773529052734,0.0006786082246804709,,,,,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.8133534136546186,0.7451781970649896,0.8287811271297509,0.8111199787177441,0.7876068376068376,0.797207910834788,0.029156003167064133,11,decision_tree,entropy,5,5.0,
0.11021194458007813,0.0035062159113056894,0.009227895736694336,0.0014637257253855196,,,,,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",0.805716298495446,0.7536156215736438,0.8287811271297509,0.8179487179487179,0.7876068376068376,0.7987337205508792,0.026382833590184878,7,decision_tree,entropy,5,10.0,
0.13259587287902833,0.006426057814553956,0.015840435028076173,0.00905147959532701,,,,,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.8001075268817204,0.7241664370349958,0.8219435736677116,0.8216762216762217,0.8164188752424046,0.7968625269006108,0.03720881783245264,13,decision_tree,entropy,10,2.0,
0.12905678749084473,0.006227282595392904,0.008165788650512696,0.0013741725287859635,,,,,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.8323742540494459,0.6987522281639929,0.8287811271297509,0.8130348913759051,0.8095800032183662,0.7965045007874922,0.049655108875110626,14,decision_tree,entropy,10,5.0,
0.13017520904541016,0.006740443967431441,0.008763504028320313,0.001458515935950389,,,,,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",0.8337912087912087,0.6924731182795698,0.8219435736677116,0.8216762216762217,0.8111199787177441,0.7962008202264912,0.052357884196142464,15,decision_tree,entropy,10,10.0,
0.1458448886871338,0.019835104332864385,0.011132478713989258,0.0059136233767652984,,,,,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2}",0.7366482504604052,0.7045454545454546,0.8219435736677116,0.8164188752424046,0.8043247827008693,0.7767761873233691,0.047324603910462656,22,decision_tree,entropy,20,2.0,
0.14231810569763184,0.022707566972005388,0.008529138565063477,0.00040810150458578127,,,,,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 5}",0.7405794847872286,0.7142008318478907,0.8219435736677116,0.8147826086956522,0.8193767224931101,0.7821766442983187,0.045561909883445176,19,decision_tree,entropy,20,5.0,
0.12720417976379395,0.005329476666556668,0.005928421020507812,0.003942845230577777,,,,,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 10}",0.7799883282932782,0.6924731182795698,0.8151330521272717,0.8011204481792717,0.8193767224931101,0.7816183338745002,0.0466450235173152,20,decision_tree,entropy,20,10.0,
1.257695198059082,0.017965398993649746,0.04334831237792969,0.0032375283139816444,,,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7627508696815628,0.76895648782662,0.8645325418698325,0.8400472027034276,0.8079316128334144,0.8088437429829713,0.03947474203711714,2,random_forest,,,2.0,100.0
2.4567111492156983,0.06319338486473962,0.06866211891174316,0.002720064613993067,,,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.8001075268817204,0.7340659340659341,0.8575426368868473,0.8262303804203246,0.8199459727658636,0.8075784902041381,0.0411270587088842,4,random_forest,,,2.0,200.0
1.1486221313476563,0.019548767804029973,0.04347119331359863,0.004503204186624105,,,,,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.7933636606903933,0.7405895691609978,0.8219435736677116,0.8356028446992667,0.7925661418600876,0.7968131580156914,0.03264109589330011,11,random_forest,,,5.0,100.0
2.3862743854522703,0.1725658464971743,0.07561202049255371,0.005183402140729429,,,,,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.7933636606903933,0.7501831501831502,0.8505892255892256,0.8248136029608968,0.7974544656572307,0.8032808210161793,0.033625600292380146,7,random_forest,,,5.0,200.0
1.186084508895874,0.09522024066247091,0.04421663284301758,0.006068653719937603,,,,,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.7914438502673797,0.7373737373737373,0.8552808024459583,0.833119658119658,0.8216762216762217,0.807778853976591,0.04078097861018985,3,random_forest,,,10.0,100.0
2.78312087059021,0.14533606852477496,0.07410197257995606,0.00920492267175278,,,,,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.7780572651859781,0.7405895691609978,0.8425471249801996,0.8262303804203246,0.8042891008324604,0.7983426881159922,0.03609442222066081,8,random_forest,,,10.0,200.0
0.6234529972076416,0.04142053379811293,0.023659372329711915,0.003320900945112697,,,,,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.6287642782969886,0.5666666666666667,0.6208277703604806,0.6266936299292214,0.6278825995807128,0.614166988966814,0.023911345388723217,22,random_forest,,5,2.0,100.0
